id,name,ort_region,bundesland_land,raumtyp,zielgruppe,versorgungsthema,massnahmentyp,traeger_akteure,umsetzungsstand,evidenz_quellenlage,kriterienbewertung,kurzbeschreibung,links,latitude,longitude,veroeffentlichungsstatus
de-buesum-001,Gesundheitszentrum Büsum,Büsum,Schleswig-Holstein,ländlich,Ältere Menschen; chronisch Erkrankte; lokale Bevölkerung und Gäste,Primär- und Langzeitversorgung,Kommunales Gesundheitszentrum,Kommune; Ärztegenossenschaft Nord; KV Schleswig-Holstein; PORT,verstetigt,Praxisportrait und PORT-Kontext,hoch,Kommunal getragene Hausarztstruktur die Nachfolgeprobleme adressiert und mit Gesundheitslotsen sowie Präventionsangeboten arbeitet.,https://www.neue-gesundheitsnetze.de/praxisbeispiele/buesum/,54.13,8.86,public
de-templin-001,Ambulant-Stationäres Zentrum Templin,Templin,Brandenburg,ländlich; strukturschwach,Ältere Menschen; chronisch und multimorbid Erkrankte; ländliche Bevölkerung,Sektorenübergreifende Versorgung,Ambulant-stationäres Zentrum,Sana; KV Brandenburg; AOK Nordost; Barmer; Stadt und Arztnetz Templin,in Regelstruktur überführt,G-BA Innovationsfonds und Landesquellen,hoch,Das Modell verzahnt ambulante stationäre und pflegerische Angebote mit Koordinierungs- und Beratungsfunktionen im Mittelbereich Templin.,https://innovationsfonds.g-ba.de/projekte/neue-versorgungsformen/igib-stimmt.79,53.12,13.50,public
de-billstedt-horn-001,Gesundheitskiosk Billstedt/Horn,Hamburg Billstedt und Horn,Hamburg,urban benachteiligt,Menschen mit erschwertem Zugang; sozioökonomisch benachteiligte Gruppen,Gesundheitskompetenz und Lotsenfunktion,Gesundheitskiosk,Gesundheitsakteure; Krankenkassen; lokale Partner; wissenschaftliche Evaluation,evaluiert,Innovationsfonds-Evaluation und Folgeevaluation,mittel,Lebensweltnahe Beratungs- und Lotsenstruktur in benachteiligten Stadtteilen mit Fokus auf Orientierung und niedrigschwellige Unterstützung.,https://www.uni-siegen.de/projekt/invest-ii-evaluation-des-integrierten-versorgungsmodells-in-billstedt/horn-gesundheitskiosk,53.55,10.10,public
de-kinzigtal-001,Gesundes Kinzigtal,Kinzigtal,Baden-Württemberg,ländlich; kleinstädtisch,Versicherte in der Region; chronisch Erkrankte; Gesamtpopulation,Integrierte populationsbezogene Versorgung,Regional integriertes Versorgungsnetz,Gesundes Kinzigtal GmbH; AOK Baden-Württemberg; regionale Leistungserbringer,langjährig umgesetzt,Langzeitevaluation mit Routinedaten,hoch,Populationsbezogenes integriertes Versorgungssystem mit Präventionsprogrammen Kooperation von Leistungserbringern und Shared-Savings-Logik.,https://pubmed.ncbi.nlm.nih.gov/33867008/,48.28,8.17,public
de-landpartie-001,Landpartie 2.0,Fulda; Bergstrasse; Hochtaunus,Hessen,ländlich,Medizinstudierende; ländliche Praxen,Fachkräftesicherung und Nachwuchs,Ausbildungs- und Bindungsprogramm,Goethe-Universität Frankfurt; Landkreise; Lehrpraxen,implementiert,Wissenschaftliche Publikation mit Evaluationsergebnissen,mittel,Longitudinales Lehrangebot das Studierende früh und wiederholt in ländliche Hausarztpraxen bringt und so Nachwuchsinteresse stärken soll.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7291387/,50.55,9.68,public
de-port-001,PORT Primär- und Langzeitversorgungszentren,mehrere Standorte,Deutschland,ländlich und urban benachteiligt,Chronisch Erkrankte; Menschen mit komplexem Versorgungsbedarf,Primär- und Langzeitversorgung,Patientenorientierte Gesundheitszentren,Robert Bosch Stiftung; Bosch Health Campus; regionale Initiativen,Programm mit Standorten,Programmseiten und Standortportraits,hoch,PORT fördert regionale Gesundheitszentren die medizinische pflegerische soziale und präventive Angebote koordinieren.,https://www.bosch-stiftung.de/de/projekt/port-patientenorientierte-zentren-zur-primaer-und-langzeitversorgung/im-detail,51.16,10.45,public
de-haffnet-001,HaffNet Stettiner Haff,Ueckermünde und Stettiner Haff,Mecklenburg-Vorpommern,ländlich; peripher,Patientinnen und Patienten in einer unterversorgungsgefährdeten Region,Ambulante Versorgung und Behandlungspfade,Ärztenetz und Praxisnetz,HaffNet GbR; HaffNet Management; Haus- und Fachärzte; Pflegedienste,verstetigt,Praxisportrait Neue Gesundheitsnetze,hoch,Anerkanntes Praxisnetz das Versorgungspfade Koordination Telemedizin-Piloten und Nachwuchsattraktivität in einer ländlichen Region verbindet.,https://www.neue-gesundheitsnetze.de/praxisbeispiele/haffnet/,53.74,14.04,public
de-eutin-malente-001,Ärztenetz Eutin-Malente,Eutin und Bad Malente,Schleswig-Holstein,kleinstädtisch; ländlich,Patientinnen und Patienten regionaler Praxen,Ambulante Versorgung und digitale Kooperation,Anerkanntes Praxisnetz,Ärztenetz Eutin-Malente; Haus- und Facharztpraxen; Kliniken,teilweise verstetigt,Praxisportrait Neue Gesundheitsnetze,mittel,Regionales Praxisnetz mit hoher Beteiligung niedergelassener Ärztinnen und Ärzte das Kooperation und Behandlungspfade erprobt.,https://www.neue-gesundheitsnetze.de/praxisbeispiele/eutin-malente/,54.14,10.62,public
de-panos-001,ParkinsonNetzwerk Ostsachsen,Ostsachsen,Sachsen,ländlich; strukturschwach,Menschen mit Parkinson; Angehörige; Haus- und Fachärzte,Neurologische Versorgung und Lotsen,Indikationsspezifisches Versorgungsnetz,Parkinson-Zentren; Hausärzte; Neurologen; Lotsen; Projektkonsortium,initiiert,Praxisportrait Neue Gesundheitsnetze,mittel,Netzwerk für frühe Therapie Behandlungspfade Parkinson-Lotsen und digitale Dokumentation in einer strukturschwachen Region.,https://www.neue-gesundheitsnetze.de/praxisbeispiele/panos/,51.16,14.99,public
de-hochfranken-001,Unternehmung Gesundheit Hochfranken,Hochfranken und Landkreis Hof,Bayern,ländlich; strukturschwach,Ältere Menschen; chronisch Erkrankte; Menschen mit Mobilitätseinschränkung,Häusliche Versorgung und Delegation,Telemedizinisch gestütztes Gesundheitsnetz,UGHO; regionale Praxen; eNurse; Gesundheitsakteure,verstetigt,Praxisportrait Neue Gesundheitsnetze,hoch,eNurse und Netzwerkmanagement schaffen Versorgungsbrücken in die häusliche Umgebung und entlasten ärztliche Ressourcen.,https://www.neue-gesundheitsnetze.de/praxisbeispiele/ugho/,50.31,11.91,public
de-prosper-001,prosper proGesund Modell der KNAPPSCHAFT,Ruhrgebiet und weitere Regionen,Nordrhein-Westfalen,urban; regional,Knappschaftsversicherte; Menschen mit hoher Krankheitslast,Managed Care und integrierte Versorgung,Populationsbezogenes Krankenkassenmodell,KNAPPSCHAFT; Ärztenetze; Kliniken; Reha-Einrichtungen,verstetigt,Praxisportrait Neue Gesundheitsnetze,mittel,Managed-Care-Netze mit regionaler Verankerung kennzahlenbasierter Steuerung und intersektoraler Kooperation für Versicherte der KNAPPSCHAFT.,https://www.neue-gesundheitsnetze.de/praxisbeispiele/prosper/,51.48,7.22,public
de-mum-buende-001,MuM Medizin und Mehr,Bünde,Nordrhein-Westfalen,kleinstädtisch; regional,Patientinnen und Patienten der Region; Pflegeheimbewohnerinnen; chronisch Erkrankte,Regionale integrierte Versorgung und Telemedizin,Ärztenetz und Gesundheitszentrum,MuM Medizin und Mehr eG; regionale Praxen; Pflegeeinrichtungen; Krankenkassen,verstetigt,Netzwerkseite und AdA-Profil,hoch,Älteres Ärztenetz mit multiprofessioneller Netzzentrale Pflegeheimversorgung Telemedizin und regionalen Projekten für besondere Versorgungsbedarfe.,https://www.arztnetze.info/praxisnetzwerke/liste-der-arztnetze-in-deutschland/43136-mum-medizin-und-mehr-eg,52.20,8.59,public
de-geko-neukoelln-001,GeKo Stadtteil-Gesundheits-Zentrum Neukölln,Berlin-Neukölln,Berlin,urban benachteiligt,Menschen im Quartier; migrantische und sozioökonomisch benachteiligte Gruppen,Stadtteilgesundheit und Beratung,Community Health Center,Gesundheitskollektiv Berlin; Stadtteilpraxis; Beratung; Nachbarschaftsprojekte,umgesetzt,Projektwebsite und NAVIGATION-Kontext,hoch,Mehrsprachiges Stadtteil-Gesundheits-Zentrum mit allgemeinmedizinischer und kindermedizinischer Praxis Beratung Selbsthilfe und Nachbarschaftsangeboten.,https://geko-berlin.de/,52.48,13.43,public
de-pol-v-001,Poliklinik Veddel,Hamburg-Veddel,Hamburg,urban benachteiligt,Menschen im Stadtteil; Menschen mit sozialen und rechtlichen Belastungen,Primärversorgung Sozialberatung und Community Health,Soziales Stadtteilgesundheitszentrum,Poliklinik Veddel; Stadtteilakteure; HAW Hamburg; Community Health Nursing,umgesetzt,Projektwebsite,hoch,Stadtteilgesundheitszentrum das allgemeinmedizinische Versorgung Sozial- und Gesundheitsberatung psychologische Beratung Hebammenversorgung und Gemeinwesenarbeit verbindet.,https://poliklinik1.org/,53.52,10.03,public
de-gemeindeschwesterplus-001,Gemeindeschwester plus,Rheinland-Pfalz und Landkreise,Rheinland-Pfalz,ländlich und kleinstädtisch,Ältere Menschen ohne Pflegegrad; alleinlebende Seniorinnen und Senioren,Präventive Beratung und Teilhabe,Aufsuchendes Beratungsangebot,Land Rheinland-Pfalz; Landkreise; Fachkräfte Gemeindeschwester plus,ausgerollt,Kommunale Programmseiten,mittel,Kostenloses aufsuchendes Beratungs- und Vernetzungsangebot für ältere Menschen zur Stärkung von Selbstständigkeit Mobilität und sozialer Teilhabe.,https://www.rhein-pfalz-kreis.de/familie-soziales/senioren/gemeindeschwester-plus/,49.42,8.39,public
de-statamed-001,StatAMed,mehrere Standorte in Hamburg Niedersachsen und Nordrhein-Westfalen,Hamburg; Niedersachsen; Nordrhein-Westfalen,urban und ländlich,Ältere akut erkrankte Menschen; multimorbide Menschen; Pflegebedürftige,Kurzstationäre sektorenübergreifende Versorgung,Sektorenübergreifendes Brückenmodell,AOK Rheinland/Hamburg; Kliniken; Universitäten; Pflegefachkräfte,laufend,G-BA Innovationsfonds,mittel,Modell für kurze allgemeinmedizinisch orientierte stationäre Aufenthalte mit Nachsorge durch Flying Nurse und interdisziplinäre Teams.,https://innovationsfonds.g-ba.de/projekte/neue-versorgungsformen/statamed.563,52.10,9.00,public
de-navigation-001,NAVIGATION Gesundheit im Zentrum,Berlin und Hamburg,Berlin; Hamburg,urban benachteiligt,Menschen in sozioökonomisch und strukturell benachteiligten Wohngegenden,Sozialraumbezogene Versorgung und Case Management,Gemeindenahes Gesundheitszentrum,Gesundheitskollektiv Berlin; AOK; Charite; Frankfurt UAS; HAG,laufend,G-BA Innovationsfonds,hoch,Modell das Menschen in ihrem Lebensumfeld kontaktiert und alltagskompatible Versorgung Gesundheitskompetenz und Case Management verbindet.,https://innovationsfonds.g-ba.de/projekte/navigation.635,52.50,13.40,public
de-hi-plus-001,HI-PLUS,Saarland,Saarland,ländlich und kleinstädtisch,Ältere Menschen; chronisch und multimorbid Erkrankte; Menschen mit Herzinsuffizienz,Herzinsuffizienz und Telemonitoring,Delegations- und eHealth-Modell,G-BA Konsortium; nichtärztliches Fachpersonal; ambulante Versorgung,laufend,G-BA Innovationsfonds,mittel,Versorgungsmodell mit nichtärztlichem Fachpersonal und eHealth-Plattform für Menschen mit Herzinsuffizienz in der ambulanten Versorgung.,https://innovationsfonds.g-ba.de/projekte/hi-plus.378,49.40,7.02,public
eu-ireland-shc-001,Slaintecare Healthy Communities,24 Community Areas,Irland,urban; ländlich; benachteiligt,Bewohnerinnen und Bewohner von Regionen mit sichtbaren gesundheitlichen Ungleichheiten,Prävention und soziale Determinanten,Place-based Healthy Communities Programme,Department of Health; HSE; Local Authorities; Community Partner,landesweit ausgerollt,Regierungsprogramm und Fortschrittsberichte,hoch,Irisches Programm das Gesundheits- und Wohlbefindensangebote in benachteiligten Communities mit lokaler Entwicklung und sozialer Infrastruktur verbindet.,https://www.gov.ie/en/healthy-ireland/publications/sl%C3%A1intecare-healthy-communities/,53.80,-9.52,public
eu-nhs-social-prescribing-001,NHS Social Prescribing,England,Vereinigtes Königreich,urban; ländlich; community-based,Menschen mit sozialen emotionalen und praktischen Belastungen,Personalisierte Versorgung und Community Support,Social Prescribing Link Worker,NHS; lokale Agenturen; Wohlfahrts- und Community-Organisationen,Regelbestandteil personalisierter Versorgung,NHS-Programmseite,mittel,Social Prescribing verbindet Patientinnen und Patienten mit Gruppen Aktivitäten und Diensten vor Ort und nutzt Link Worker für individuelle Unterstützungspläne.,https://www.england.nhs.uk/personalisedcare/social-prescribing/,51.50,-0.12,public
eu-spain-centros-001,Centros de Salud,mehrere Regionen,Spanien,urban; ländlich,Breite Bevölkerung; chronisch Erkrankte,Primärversorgung und Gesundheitszentren,Regionale Primärversorgungszentren,Spanische Gesundheitsdienste; multiprofessionelle Teams; Regionen,etabliert,Robert Bosch Stiftung PORT-Länderstudie,hoch,Spanische Gesundheitszentren dienen als Referenz für wohnortnahe multiprofessionelle Primärversorgung mit regionaler Einbindung.,https://www.bosch-stiftung.de/de/publikation/port-patientenorientierte-zentren-zur-primaer-und-langzeitversorgung-gesundheitszentren,40.42,-3.70,public
eu-sweden-vardcentraler-001,Vardcentraler in Nordschweden,ländliche Provinzen Nordschwedens,Schweden,ländlich; dünn besiedelt,Breite Bevölkerung; chronisch Erkrankte; Menschen mit langen Wegen,Primärversorgung in dünn besiedelten Räumen,Versorgungszentren,Regionale Gesundheitsdienste; multiprofessionelle Teams,etabliert,Robert Bosch Stiftung PORT-Länderstudie,hoch,Schwedische Versorgungszentren zeigen wie Primärversorgung in dünn besiedelten Regionen durch Teamarbeit und regionale Organisation strukturiert werden kann.,https://www.bosch-stiftung.de/de/publikation/port-patientenorientierte-zentren-zur-primaer-und-langzeitversorgung-versorgungszentren,63.83,20.26,public
eu-slovenia-domovi-001,Zdravstveni Domovi,mehrere Gemeinden,Slowenien,urban; ländlich,Breite Bevölkerung; Familien; chronisch Erkrankte,Primärversorgung und kommunale Gesundheitszentren,Gesundheitszentren,Kommunale Gesundheitszentren; multiprofessionelle Teams,etabliert,Robert Bosch Stiftung PORT-Länderstudie,hoch,Slowenische Gesundheitszentren verbinden Primärversorgung Prävention und gemeindenahe Angebote in einem etablierten Zentrenmodell.,https://www.bosch-stiftung.de/de/publikation/port-patientenorientierte-zentren-zur-primaer-und-langzeitversorgung-0,46.05,14.51,public
eu-finland-wellbeing-001,Wellbeing Services Counties,landesweit,Finnland,urban; ländlich; dünn besiedelt,Gesamtbevölkerung; Menschen mit sozialen und gesundheitlichen Bedarfen,Integration von Sozial- und Gesundheitsdiensten,Regionale Organisationsreform,Wellbeing Services Counties; Staat; Gesundheits- und Sozialzentren,etabliert,Suomi.fi und regionale Informationsseiten,mittel,Finnische Wohlfahrtsregionen bündeln Primärversorgung spezialisierte Versorgung Sozialdienste und Rettungsdienste in regionaler Verantwortung.,https://www.suomi.fi/citizen/rights-and-participation-in-society/legal-and-consumer-protection/guide/how-finlands-public-administration-works/wellbeing-services-county,60.45,22.27,public



